0,2557
1,2496
2,2607
3,2940
4,2358
5,2135
6,3284
7,3171
8,2302
9,593
10,954
11,1870
12,352
13,1201
14,2713
15,1003
16,2565
17,3590
18,3247
19,1914
20,1014
21,3158
22,1617
23,1265
24,1900
25,3483
26,2496
27,3046
28,1313
29,1628
30,2889
31,3091
32,2877
33,2952
34,2866
35,2964
36,2147
37,1965
38,542
39,1785
40,2592
41,1585
42,1278
43,1421
44,2624
45,3686
46,1201
47,2943
48,572
49,2137
50,1291
51,3936
52,1820
53,1191
54,3404
55,2730
56,2854
57,2029
58,3007
59,3039
60,1753
61,1847
62,2061
63,1785
64,1635
65,2908
66,2674
67,3373
68,3189
69,1977
70,2569
71,1531
72,542
73,811
74,2668
75,3471
76,3129
77,1556
78,1860
79,1844
80,936
81,3356
82,2949
83,2302
84,2501
85,2006
86,1045
87,2435
88,2403
89,2404
90,2474
91,1883
92,2034
93,2787
94,1350
95,2118
96,1673
97,1057
98,3524
99,2537
100,1369
101,1772
102,878
103,2534
104,2833
105,2606
106,2010
107,3084
108,1361
109,2699
110,2918
111,2353
112,3526
113,2333
114,2178
115,3182
116,2917
117,970
118,1955
119,1387
120,2199
121,1309
122,1515
123,1495
124,1073
125,357
126,2444
127,2052
128,1779
129,3128
130,3861
131,2720
132,597
133,1798
134,2452
135,3336
136,1849
137,2979
138,1798
139,1590
140,737
141,2830
142,3832
143,2472
144,2690
145,2590
146,2870
147,1738
148,2382
149,874
150,909
151,3811
152,336
153,984
154,3944
155,2808
156,2108
157,3516
158,2193
159,2039
160,2290
161,1558
162,2627
163,1530
164,1474
165,3336
166,2148
167,3373
168,1908
169,3551
170,1490
171,1250
172,3617
173,3864
174,3196
175,2453
176,4035
177,1511
178,1969
179,2994
180,334
181,2532
182,2843
183,2441
184,2088
185,1381
186,2220
187,3842
188,3666
189,2367
190,1634
191,2203
192,2685
193,2092
194,3053
195,1853
196,2658
197,759
198,3207
199,2345
200,2221
201,1931
202,1908
203,1132
204,2050
205,2721
206,3202
207,1671
208,3250
209,1228
210,777
211,2595
212,3448
213,2837
214,2916
215,3507
216,1407
217,2039
218,3096
219,1490
220,1720
221,2313
222,628
223,1622
224,1134
225,3221
226,1878
227,1178
228,2463
229,3184
230,2502
231,1754
232,2494
233,2605
234,3288
235,924
236,1080
237,3501
238,2886
239,2962
240,434
241,3048
242,114
243,1674
244,1042
245,2987
246,2087
247,2923
248,3439
249,2590
250,2975
251,885
252,946
253,3030
254,2427
255,3242
256,1924
257,3792
258,692
259,631
260,3660
261,1796
262,973
263,2271
264,1809
265,2704
266,2676
267,1392
268,3203
269,2970
270,2134
271,1420
272,1872
273,1772
274,2080
275,2641
276,2879
277,1293
278,2169
279,2381
280,3604
281,2830
282,1173
283,923
284,2143
285,3785
286,3051
287,3342
288,3124
289,1757
290,1305
291,2308
292,1843
293,1759
294,2762
295,744
296,1976
297,740
298,1277
299,1086
300,3300
301,940
302,528
303,746
304,3092
305,2932
306,3090
307,1377
308,1349
309,1818
310,3216
311,2378
312,2479
313,2845
314,3608
315,696
316,2727
317,2133
318,3269
319,2315
320,973
321,2724
322,1332
323,3347
324,3617
325,1549
326,1660
327,1984
328,153
329,3372
330,3818
331,1443
332,3003
333,3188
334,1997
335,2928
336,2107
337,3545
338,442
339,2569
340,1857
341,3478
342,2305
343,1002
344,2450
345,3689
346,3877
347,2937
348,2222
349,1898
350,692
351,3475
352,2932
353,1307
354,2973
355,1688
356,1058
357,3476
358,3140
359,2556
360,1653
361,1389
362,1515
363,508
364,2312
365,2452
366,1516
367,3523
368,2095
369,3460
370,4013
371,1257
372,1178
373,2492
374,2376
375,3114
376,1655
377,568
378,3226
379,2138
380,2517
381,2771
382,2258
383,1323
384,3861
385,2992
386,2161
387,1910
388,2178
389,2090
390,2748
391,3546
392,3579
393,2606
394,1385
395,2433
396,1176
397,1567
398,2815
399,637
400,298
401,1187
402,1909
403,2199
404,2469
405,3565
406,1537
407,3122
408,3823
409,2198
410,1697
411,2637
412,3688
413,2632
414,1815
415,2441
416,1443
417,1668
418,3070
419,1166
420,3634
421,3449
422,668
423,1852
424,1733
425,1873
426,1732
427,368
428,3031
429,2086
430,1952
431,3395
432,1147
433,751
434,2780
435,2673
436,1285
437,1966
438,1656
439,2502
440,3513
441,2153
442,3407
443,1113
444,1168
445,2569
446,877
447,1167
448,1764
449,2081
450,1527
451,1884
452,466
453,1199
454,2553
455,2639
456,2395
457,2994
458,2258
459,2438
460,366
461,2420
462,3008
463,2537
464,1827
465,3381
466,1018
467,216
468,2244
469,1155
470,1405
471,80
472,2603
473,2179
474,2393
475,3469
476,617
477,648
478,2560
479,3959
480,2455
481,3805
482,1680
483,1628
484,3057
485,2768
486,2512
487,2964
488,2825
489,2628
490,1582
491,3726
492,1314
493,2774
494,2077
495,3822
496,1231
497,2718
498,2906
499,3340
500,3060
501,2883
502,2421
503,2437
504,3430
505,1761
506,2789
507,1524
508,2491
509,1331
510,1103
511,3389
512,3363
513,814
514,3124
515,1757
516,2996
517,2967
518,1489
519,2714
520,1081
521,2869
522,914
523,2206
524,2527
525,2292
526,595
527,2815
528,2670
529,2801
530,799
531,3290
532,1673
533,1307
534,1995
535,3390
536,1448
537,3138
538,952
539,273
540,11582
541,3763
542,2303
543,3148
544,1407
545,1988
546,2828
547,2486
548,1372
549,484
550,1102
551,1397
552,3006
553,2652
554,1539
555,3058
556,390
557,1199
558,1396
559,2761
560,2731
561,2007
562,1687
563,1990
564,2272
565,2766
566,1196
567,3177
568,2312
569,2053
570,3266
571,1110
572,2527
573,2902
574,2493
575,3243
576,1217
577,2563
578,1854
579,2347
580,2968
581,2513
582,1502
583,2774
584,1547
585,1535
586,2238
587,1708
588,1020
589,870
590,2467
591,1150
592,3058
593,2868
594,2772
595,2279
596,844
597,2740
598,184
599,1655
600,3850
601,815
602,3003
603,2635
604,3754
605,2568
606,3019
607,1571
608,2422
609,3433
610,1774
611,3469
612,2432
613,1165
614,2737
615,1337
616,2986
617,3337
618,2002
619,2665
620,1462
621,1971
622,3858
623,2888
624,2302
625,2923
626,2892
627,2855
628,2414
629,2696
630,2983
631,2506
632,2035
633,583
634,2088
635,2210
636,2502
637,1507
638,1576
639,2150
640,2272
641,3626
642,1142
643,2500
644,1241
645,2375
646,1394
647,630
648,2424
649,3456
650,1928
651,3744
652,3190
653,447
654,3545
655,2315
656,2397
657,1963
658,1969
659,3518
660,3264
661,3343
662,2670
663,2882
664,3306
665,3178
666,1547
667,155
668,2942
669,2495
670,781
671,3042
672,2045
673,1926
674,986
675,3697
676,2098
677,1908
678,3136
679,2504
680,706
681,1176
682,13613
683,860
684,303
685,2346
686,3309
687,2119
688,1997
689,2389
690,1465
691,1971
692,2073
693,3566
694,3008
695,484
696,38211
697,991
698,1981
699,2047
700,3662
701,2027
702,1871
703,3901
704,2302
705,1886
706,1560
707,2650
708,2944
709,2317
710,3492
711,1417
712,1199
713,1500
714,884
715,1570
716,2694
717,2403
718,2056
719,2517
720,2913
721,1858
722,3628
723,3078
724,2372
725,2188
726,2866
727,2649
728,2897
729,2802
730,2139
731,3109
732,1971
733,1842
734,3174
735,902
736,1268
737,3002
738,1490
739,1110
740,1290
741,2313
742,2217
743,2456
744,1523
745,1110
746,122
747,1493
748,1095
749,3472
750,3336
751,2900
752,2181
753,2911
754,2408
755,1718
756,2826
757,145
758,672
759,2582
760,1596
761,1043
762,1306
763,1795
764,3483
765,3775
766,2488
767,838
768,2888
769,1757
770,2949
771,13380
772,1433
